,indice_lote,PreC_VM,CP_VM,Peso_VM,Peso_min,Peso_max,Diametro_VM,Dureza_VM,Diametro_VM,friab
0,32,2.16,24.9,990.7,970.9,1006.8,5.58,11.9,21.01,0.0028
1,32,2.76,26.93,995.8,979.1,1014.7,5.61,11.8,21.01,0.0028
2,32,2.88,26.26,992.6,978.6,1011.4,5.6,11.3,21.01,0.0028
3,32,3.73,29.76,1006.3,987,1018,5.65,11.9,21.02,0.0028
4,32,3.07,25.94,999.3,982.6,1008.8,5.62,12,21.01,0.0028
5,32,3.2,26.88,999.4,989.5,1012.8,5.62,11.6,21.01,0.0028
6,32,2.62,25.93,1001.7,982.7,1016.4,5.62,12.4,21.01,0.0028
7,32,2.94,27.02,998,970.9,1018,5.62,11.8,21.01,0.0028
8,32,4.61,28.64,987.8,976.7,997.7,5.59,12.1,21.08,0.0028
9,32,4.41,29.21,1002.1,993.3,1012.1,5.68,12.4,21.08,0.0028
10,32,4.58,28.81,1004.7,992,1010.8,5.67,12.6,21.08,0.0028
11,32,3.77,29.05,1011.3,1006,1015.9,5.71,12.3,21.07,0.0028
12,32,3.38,23.34,986.7,980,993.5,5.61,12,21.07,0.0028
13,32,3.95,29.12,997.6,982.8,1009.1,5.65,12.5,21.07,0.0028
14,32,3.72,28.66,996.4,985.4,1006.9,5.63,12.4,21.07,0.0028
15,32,3.96,29.01,998.1,976.7,1015.9,5.65,12.3,21.07,0.0028
16,27,8.24,22.8,1003.6,987.4,1017.3,5.73,5.9,21.09,0.0041
17,27,7.76,23.11,999.6,976,1015.4,5.7,6.1,21.09,0.0041
18,27,7.83,23.34,1000.3,969.3,1014.7,5.71,6.1,21.09,0.0041
19,27,8.65,25.56,1005.3,985.8,1021.2,5.72,6.4,21.09,0.0041
20,27,8.6,24.26,993.2,970.7,1010,5.67,6.2,21.09,0.0041
21,27,9.33,26.3,996.6,973.4,1012.3,5.67,6.6,21.09,0.0041
22,27,8.19,23.85,999.8,969.3,1021.2,5.7,6.2,21.09,0.0041
23,27,7.3,32.33,1014,995.5,1029.3,5.73,7,21.1,0.0041
24,27,6.7,30.92,1009.1,991.6,1022.7,5.7,7,21.1,0.0041
25,27,6.89,31.75,1005.3,986.6,1021.1,5.69,7,21.12,0.0041
26,27,6.73,31.55,996.8,979.5,1010,5.66,6.9,21.12,0.0041
27,27,6.89,31.94,999.5,981.6,1013.5,5.67,7.2,21.12,0.0041
28,27,6.93,32.33,1002.2,984,1016.3,5.66,7.5,21.12,0.0041
29,27,6.88,31.8,1004.5,979.5,1029.3,5.69,7.1,21.11,0.0041
30,28,10.84,30.83,1012.4,995.4,1026.8,5.72,6.7,21.12,0.0051
31,28,10.65,23.15,998.9,983.8,1014.4,5.68,6.5,21.12,0.0051
32,28,14.56,22.99,1010.7,995.9,1023.5,5.74,6.4,21.12,0.0051
33,28,14.78,26.17,1012.5,991.1,1028,5.72,6.6,21.12,0.0051
34,28,14.83,27.26,1006.8,980.9,1022.3,5.68,6.7,21.12,0.0051
35,28,12.22,24.24,986.9,962,999.8,5.62,5.8,21.12,0.0051
36,28,14.14,26.78,1004.7,962,1028,5.69,6.5,21.12,0.0051
37,28,8.12,36.48,1009.3,986.3,1029.6,5.68,8.2,21.09,0.0051
38,28,9.17,41.22,998.9,981.2,1009.3,5.63,8.1,21.07,0.0051
39,28,13.71,42.44,1019.2,1005.4,1028,5.73,8.1,21.07,0.0051
40,28,12.23,42.29,1008.4,984.5,1017,5.68,7.9,21.07,0.0051
41,28,11.63,40.83,1006.8,984.5,1019.6,5.68,7.9,21.07,0.0051
42,28,11.77,41.5,1001.4,979.8,1014.7,5.66,8,21.08,0.0051
